pr2,pr3,State,FIPSCode
1,0,CT,900360120
1.0233990147783252,0.02286401925391095,CT,900365370
1.0186104218362282,0.018270401948842874,CT,900368940
1.0242865816636308,0.023710729104919975,CT,900370550
1.0106820049301561,0.01056910569105691,CT,900371390
1.0189504373177842,0.01859799713876967,CT,900374540
1,0,CT,900382590
1.0092485549132948,0.009163802978235968,CT,900384900
1.0250223413762287,0.024411508282476024,CT,900387000
1.0061349693251533,0.006097560975609756,CT,900387070
1.019736842105263,0.01935483870967742,CT,900502760
1.0559006211180124,0.052941176470588235,CT,900504930
1.078740157480315,0.072992700729927,CT,900508210
1.0217391304347827,0.02127659574468085,CT,900510940
1,0,CT,900516050
1.0223880597014925,0.021897810218978103,CT,900517240
1.0158730158730158,0.015625,CT,900532290
1.008097165991903,0.008032128514056224,CT,900537280
Inf,1,CT,900540290
1.0089485458612975,0.008869179600886918,CT,900543370
1.029126213592233,0.02830188679245283,CT,900549460
1.0126182965299684,0.012461059190031152,CT,900551350
1.0044198895027625,0.0044004400440044,CT,900552630
1.0285714285714285,0.027777777777777776,CT,900553470
1,0,CT,900554030
1,0,CT,900560750
1.0242718446601942,0.023696682464454975,CT,900565930
1.0196078431372548,0.019230769230769232,CT,900566420
1.0055248618784531,0.005494505494505495,CT,900567960
1.0199004975124377,0.01951219512195122,CT,900575730
1.0159362549800797,0.01568627450980392,CT,900576570
1,0,CT,900579510
1.0057471264367817,0.005714285714285714,CT,900579720
1.0074404761904763,0.007385524372230428,CT,900580490
1,0,CT,900586440
1,0,CT,900587910
1.0084745762711864,0.008403361344537815,CT,900714300
1.032258064516129,0.03125,CT,900715350
1.0095693779904307,0.009478672985781991,CT,900718080
1.0164835164835164,0.016216216216216217,CT,900719130
1.0084745762711864,0.008403361344537815,CT,900720810
1.018918918918919,0.01856763925729443,CT,900722280
1.0184757505773672,0.018140589569160998,CT,900722490
1.023454157782516,0.022916666666666665,CT,900726270
1.013550135501355,0.013368983957219251,CT,900735230
1.0148514851485149,0.014634146341463415,CT,900740710
1.0048780487804878,0.0048543689320388345,CT,900747080
1.0207119741100323,0.020291693088142042,CT,900747360
