FIPSCode,jurisdiction,households,median_household_income
8043,"Fremont County, Colorado",17163,46296
8045,"Garfield County, Colorado",21138,72898
8047,"Gilpin County, Colorado",2653,75120
8049,"Grand County, Colorado",5823,70469
8051,"Gunnison County, Colorado",6643,54979
8053,"Hinsdale County, Colorado",387,52188
8055,"Huerfano County, Colorado",3282,36705
8057,"Jackson County, Colorado",575,48828
8059,"Jefferson County, Colorado",230153,78943
8061,"Kiowa County, Colorado",593,39784
8063,"Kit Carson County, Colorado",2977,51046
8065,"Lake County, Colorado",3353,46918
8067,"La Plata County, Colorado",21793,64372
8069,"Larimer County, Colorado",133527,67664
8071,"Las Animas County, Colorado",6477,41945
8073,"Lincoln County, Colorado",1520,49423
8075,"Logan County, Colorado",8183,48922
8077,"Mesa County, Colorado",61033,53683
8079,"Mineral County, Colorado",375,61058
8081,"Moffat County, Colorado",5210,52807
8083,"Montezuma County, Colorado",10615,46797
8085,"Montrose County, Colorado",17125,48739
8087,"Morgan County, Colorado",10785,51626
8089,"Otero County, Colorado",7691,34136
8091,"Ouray County, Colorado",2194,62230
8093,"Park County, Colorado",7119,66861
8095,"Phillips County, Colorado",1668,50724
8097,"Pitkin County, Colorado",7018,71244
8099,"Prowers County, Colorado",4963,40097
8101,"Pueblo County, Colorado",63762,44634
8103,"Rio Blanco County, Colorado",2403,55543
8105,"Rio Grande County, Colorado",4504,38639
8107,"Routt County, Colorado",9552,74273
8109,"Saguache County, Colorado",2645,34410
8111,"San Juan County, Colorado",266,46563
8113,"San Miguel County, Colorado",3441,64478
8115,"Sedgwick County, Colorado",1017,45188
8117,"Summit County, Colorado",9707,77589
8119,"Teller County, Colorado",10183,65382
8121,"Washington County, Colorado",2030,49375
8123,"Weld County, Colorado",102101,70908
8125,"Yuma County, Colorado",4051,48394
9001,"Fairfield County, Connecticut",340491,92969
9003,"Hartford County, Connecticut",349064,72321
9005,"Litchfield County, Connecticut",73987,78314
9007,"Middlesex County, Connecticut",66892,84761
9009,"New Haven County, Connecticut",329857,67128
9011,"New London County, Connecticut",107402,71368
9013,"Tolland County, Connecticut",55232,84916
9015,"Windham County, Connecticut",44449,64774
10001,"Kent County, Delaware",64545,58775
10003,"New Castle County, Delaware",203855,70996
10005,"Sussex County, Delaware",89365,60853
11001,"District of Columbia, District of Columbia",281322,82604
12001,"Alachua County, Florida",97048,49078
12003,"Baker County, Florida",8625,61769
12005,"Bay County, Florida",70199,51829
12007,"Bradford County, Florida",8993,46197
12009,"Brevard County, Florida",228888,54359
12011,"Broward County, Florida",682088,57333
12013,"Calhoun County, Florida",4556,38609
12015,"Charlotte County, Florida",76150,49225
12017,"Citrus County, Florida",62762,41424
12019,"Clay County, Florida",73398,62653
12021,"Collier County, Florida",140942,65675
12023,"Columbia County, Florida",24985,44491
12027,"DeSoto County, Florida",11996,35057
12029,"Dixie County, Florida",6520,38237
12031,"Duval County, Florida",354387,53473
12033,"Escambia County, Florida",118740,49286
12035,"Flagler County, Florida",40629,53872
12037,"Franklin County, Florida",4297,42855
12039,"Gadsden County, Florida",17080,40922
12041,"Gilchrist County, Florida",6511,42357
12043,"Glades County, Florida",4433,39879
12045,"Gulf County, Florida",5359,44291
12047,"Hamilton County, Florida",4485,34583
12049,"Hardee County, Florida",7772,37594
