pr2,pr3,State,FIPSCode,population
0.9806763285024155,0.020935960591133004,VA,51051,12114
0.9306501547987616,0,VA,51053,21818
0.9829721362229102,0.0015748031496062992,VA,51057,8801
0.952063815511543,0.0059076355536994505,VA,51059,715977
0.9403959991835068,0.017581940525287606,VA,51061,49553
0.9742173112338858,0,VA,51063,12256
0.9618753219989696,0,VA,51065,20200
0.9613636363636363,0.005673758865248227,VA,51067,44453
0.9334298118668596,0,VA,51069,60243
0.9885222381635581,0.013062409288824383,VA,51071,13265
0.9314736203759855,0.005208333333333333,VA,51073,29151
0.9489795918367347,0.00739247311827957,VA,51075,17527
0.9626769626769627,0,VA,51077,12295
0.9616087751371115,0.02091254752851711,VA,51079,13934
0.9204152249134948,0,VA,51081,9561
0.9564449676280165,0,VA,51083,27633
0.9358841778697001,0.010128913443830571,VA,51085,77432
0.8951657611708616,0,VA,51087,228789
0.9537414965986395,0,VA,51089,40845
0.9919354838709677,0,VA,51091,1921
0.9464831804281345,0.030694668820678513,VA,51093,28079
0.9579152731326644,0,VA,51095,55352
0.9578947368421052,0.04945054945054945,VA,51097,5646
0.9583608724388631,0,VA,51099,18473
0.9089347079037801,0,VA,51101,12242
0.9507389162561576,0.01683937823834197,VA,51103,9260
0.9393939393939394,0,VA,51105,19965
0.9379756586042213,0.005025950988765521,VA,51107,222349
0.9631901840490797,0.014861995753715499,VA,51109,26749
0.952561669829222,0,VA,51111,9860
0.9624624624624625,0,VA,51113,10215
0.969309462915601,0,VA,51115,7360
0.9666344294003868,0,VA,51117,24978
0.9677914110429447,0.03169572107765452,VA,51119,9030
0.9297608234937935,0,VA,51121,76219
0.922824302134647,0,VA,51125,11655
0.9428857715430862,0,VA,51127,15619
0.9726027397260274,0.03841229193341869,VA,51131,9348
0.9517795637198623,0.021712907117008445,VA,51133,10229
0.9331514324693042,0,VA,51135,12157
0.9276105060858424,0.007596685082872928,VA,51137,26461
0.9713656387665198,0,VA,51139,18766
0.9477040816326531,0.008075370121130552,VA,51141,14677
0.9639431028779358,0,VA,51143,49219
0.9512349588347055,0,VA,51145,22511
0.9419191919191919,0,VA,51147,18870
0.943687018375815,0,VA,51149,28739
0.960083118939244,0.004431801785088533,VA,51153,274536
0.9510240427426536,0.0056179775280898875,VA,51155,27778
0.9352051835853131,0.03002309468822171,VA,51157,5844
0.8741496598639455,0,VA,51159,7090
0.9442635510438613,0,VA,51161,72204
0.9577167019027484,0,VA,51163,18297
0.9400461183704842,0,VA,51165,58293
0.9736842105263158,0,VA,51167,22226
0.9817258883248731,0,VA,51169,18072
0.9441128594682583,0,VA,51171,32575
0.9433748584371461,0,VA,51173,24959
0.9401574803149606,0,VA,51175,14629
0.9475135075532032,0,VA,51177,92210
0.9332670423157662,0,VA,51179,97711
0.9509090909090909,0,VA,51181,5451
0.9287531806615776,0,VA,51183,10536
0.9577940348902645,0.025851938895417155,VA,51185,34702
0.9409403669724771,0.009750152346130409,VA,51187,29528
0.9624684229520029,0.00974878140232471,VA,51191,43831
0.955574912891986,0,VA,51193,13750
0.9461756373937678,0,VA,51195,31770
0.9296703296703297,0,VA,51197,23194
