zipcode,city,zip_median_income
27544,"Kittrell, North Carolina",40056
28071,"Gold Hill, North Carolina",39926
27330,"Sanford, North Carolina",39847
28032,"Cramerton, North Carolina",39800
27258,"Haw River, North Carolina",39769
28630,"Granite Falls, North Carolina",39763
27522,"Creedmoor, North Carolina",39736
28033,"Crouse, North Carolina",39697
28697,"Wilkesboro, North Carolina",39635
27981,"Wanchese, North Carolina",39625
27342,"Sedalia, North Carolina",39583
27974,"Shiloh, North Carolina",39531
27341,"Seagrove, North Carolina",39521
27041,"Pilot Mountain, North Carolina",39506
27943,"Hatteras, North Carolina",39479
27837,"Grimesland, North Carolina",39403
27814,"Blounts Creek, North Carolina",39402
27964,"Point Harbor, North Carolina",39400
28805,"Asheville, North Carolina",39378
28654,"Moravian Falls, North Carolina",39375
27976,"South Mills, North Carolina",39345
28504,"Kinston, North Carolina",39334
28584,"Swansboro, North Carolina",39306
27043,"Pinnacle, North Carolina",39252
28127,"New London, North Carolina",39214
27013,"Cleveland, North Carolina",39175
28747,"Lake Toxaway, North Carolina",39152
28327,"Carthage, North Carolina",39152
28303,"Fayetteville, North Carolina",39150
27018,"East Bend, North Carolina",39134
27534,"Goldsboro, North Carolina",39129
28092,"Lincolnton, North Carolina",39115
28651,"Millers Creek, North Carolina",39091
27007,"Ararat, North Carolina",39085
28681,"Taylorsville, North Carolina",39018
28371,"Parkton, North Carolina",38994
27950,"Knotts Island, North Carolina",38958
28396,"Wagram, North Carolina",38945
28203,"Charlotte, North Carolina",38918
27253,"Graham, North Carolina",38848
27311,"Pelham, North Carolina",38832
28356,"Linden, North Carolina",38773
28217,"Charlotte, North Carolina",38757
28710,"Bat Cave, North Carolina",38750
28363,"Marston, North Carolina",38750
27054,"Woodleaf, North Carolina",38725
28658,"Newton, North Carolina",38620
28054,"Gastonia, North Carolina",38575
28571,"Oriental, North Carolina",38566
28034,"Dallas, North Carolina",38542
27856,"Nashville, North Carolina",38521
27524,"Four Oaks, North Carolina",38518
27055,"Yadkinville, North Carolina",38511
28575,"Salter Path, North Carolina",38500
27705,"Durham, North Carolina",38470
28570,"Newport, North Carolina",38412
28510,"Arapahoe, North Carolina",38382
27935,"Eure, North Carolina",38375
27926,"Corapeake, North Carolina",38361
28385,"Salemburg, North Carolina",38355
27973,"Shawboro, North Carolina",38269
28676,"State Road, North Carolina",38190
28529,"Grantsboro, North Carolina",38155
27525,"Franklinton, North Carolina",38131
27239,"Denton, North Carolina",38125
27208,"Bennett, North Carolina",38125
27972,"Salvo, North Carolina",38125
28683,"Thurmond, North Carolina",38023
27299,"Linwood, North Carolina",38023
28023,"China Grove, North Carolina",38009
28712,"Brevard, North Carolina",37978
27966,"Powells Point, North Carolina",37973
27406,"Greensboro, North Carolina",37903
27954,"Manteo, North Carolina",37893
28701,"Alexander, North Carolina",37846
27263,"High Point, North Carolina",37832
28394,"Vass, North Carolina",37825
28692,"Vilas, North Carolina",37790
28163,"Stanfield, North Carolina",37720
27048,"Stoneville, North Carolina",37712
27808,"Bath, North Carolina",37670
28638,"Hudson, North Carolina",37665
28469,"Ocean Isle Beach, North Carolina",37635
28557,"Morehead City, North Carolina",37615
27704,"Durham, North Carolina",37604
28021,"Cherryville, North Carolina",37565
28086,"Kings Mountain, North Carolina",37560
28546,"Jacksonville, North Carolina",37546
27505,"Broadway, North Carolina",37532
27610,"Raleigh, North Carolina",37505
27052,"Walnut Cove, North Carolina",37423
28612,"Connellys Springs, North Carolina",37354
27281,"Jackson Springs, North Carolina",37318
28373,"Pinebluff, North Carolina",37303
28428,"Carolina Beach, North Carolina",37284
27020,"Hamptonville, North Carolina",37241
28450,"Lake Waccamaw, North Carolina",37228
27326,"Ruffin, North Carolina",37208
27565,"Oxford, North Carolina",37156
28212,"Charlotte, North Carolina",37151
28711,"Black Mountain, North Carolina",37068
28128,"Norwood, North Carolina",37026
27923,"Coinjock, North Carolina",37019
28736,"Glenville, North Carolina",37000
27956,"Maple, North Carolina",36923
28751,"Maggie Valley, North Carolina",36898
27042,"Pine Hall, North Carolina",36875
28467,"Calabash, North Carolina",36856
28721,"Clyde, North Carolina",36789
27203,"Asheboro, North Carolina",36783
28782,"Tryon, North Carolina",36777
27028,"Mocksville, North Carolina",36754
27936,"Frisco, North Carolina",36731
27315,"Providence, North Carolina",36731
27047,"Siloam, North Carolina",36719
28602,"Hickory, North Carolina",36715
28735,"Gerton, North Carolina",36667
28152,"Shelby, North Carolina",36644
28326,"Cameron, North Carolina",36631
28556,"Merritt, North Carolina",36618
27022,"Lawsonville, North Carolina",36583
28081,"Kannapolis, North Carolina",36573
27317,"Randleman, North Carolina",36571
27025,"Madison, North Carolina",36512
28101,"Mc Adenville, North Carolina",36447
28460,"Sneads Ferry, North Carolina",36434
27403,"Greensboro, North Carolina",36427
28306,"Fayetteville, North Carolina",36411
27316,"Ramseur, North Carolina",36334
28445,"Holly Ridge, North Carolina",36311
27546,"Lillington, North Carolina",36290
27107,"Winston Salem, North Carolina",36279
28362,"Marietta, North Carolina",36250
28392,"Tar Heel, North Carolina",36250
27291,"Leasburg, North Carolina",36216
27262,"High Point, North Carolina",36208
28088,"Landis, North Carolina",36184
27851,"Lucama, North Carolina",36090
28655,"Morganton, North Carolina",36089
28577,"Sealevel, North Carolina",36071
27360,"Thomasville, North Carolina",35939
28139,"Rutherfordton, North Carolina",35915
28582,"Stella, North Carolina",35864
27863,"Pikeville, North Carolina",35811
28715,"Candler, North Carolina",35762
28016,"Bessemer City, North Carolina",35695
27549,"Louisburg, North Carolina",35666
27344,"Siler City, North Carolina",35596
27865,"Pinetown, North Carolina",35588
28366,"Newton Grove, North Carolina",35558
28073,"Grover, North Carolina",35519
28685,"Traphill, North Carolina",35513
28539,"Hubert, North Carolina",35501
27884,"Stokes, North Carolina",35461
27569,"Princeton, North Carolina",35424
27803,"Rocky Mount, North Carolina",35398
28665,"Purlear, North Carolina",35380
27573,"Roxboro, North Carolina",35374
28137,"Richfield, North Carolina",35313
28089,"Lattimore, North Carolina",35313
28421,"Atkinson, North Carolina",35294
27965,"Poplar Branch, North Carolina",35278
28305,"Fayetteville, North Carolina",35255
28573,"Pollocksville, North Carolina",35243
27858,"Greenville, North Carolina",35227
28422,"Bolivia, North Carolina",35224
28357,"Lumber Bridge, North Carolina",35151
27850,"Littleton, North Carolina",35108
28748,"Leicester, North Carolina",35086
28634,"Harmony, North Carolina",35044
27582,"Stovall, North Carolina",35000
28636,"Hiddenite, North Carolina",34913
28083,"Kannapolis, North Carolina",34911
28729,"Etowah, North Carolina",34896
27504,"Benson, North Carolina",34816
28451,"Leland, North Carolina",34770
27891,"Whitakers, North Carolina",34750
27248,"Franklinville, North Carolina",34750
27886,"Tarboro, North Carolina",34749
28763,"Otto, North Carolina",34688
27559,"Moncure, North Carolina",34659
28318,"Autryville, North Carolina",34651
28532,"Havelock, North Carolina",34626
27882,"Spring Hope, North Carolina",34610
28098,"Lowell, North Carolina",34602
28604,"Banner Elk, North Carolina",34590
28754,"Mars Hill, North Carolina",34545
27343,"Semora, North Carolina",34531
28689,"Union Grove, North Carolina",34526
27508,"Bunn, North Carolina",34464
27314,"Prospect Hill, North Carolina",34464
28663,"Piney Creek, North Carolina",34405
27011,"Boonville, North Carolina",34375
28323,"Bunnlevel, North Carolina",34375
27807,"Bailey, North Carolina",34375
27819,"Conetoe, North Carolina",34375
27320,"Reidsville, North Carolina",34345
27960,"Ocracoke, North Carolina",34315
28530,"Grifton, North Carolina",34304
28159,"Spencer, North Carolina",34244
28205,"Charlotte, North Carolina",34240
27292,"Lexington, North Carolina",34237
28516,"Beaufort, North Carolina",34093
28538,"Hookerton, North Carolina",34024
27915,"Avon, North Carolina",33929
28001,"Albemarle, North Carolina",33914
27822,"Elm City, North Carolina",33908
27877,"Severn, North Carolina",33906
28762,"Old Fort, North Carolina",33889
27888,"Walstonburg, North Carolina",33826
28020,"Casar, North Carolina",33824
28376,"Raeford, North Carolina",33801
28464,"Teachey, North Carolina",33796
28757,"Montreat, North Carolina",33750
28790,"Zirconia, North Carolina",33720
27557,"Middlesex, North Carolina",33668
28778,"Swannanoa, North Carolina",33516
28626,"Fleetwood, North Carolina",33500
27852,"Macclesfield, North Carolina",33500
28621,"Elkin, North Carolina",33483
28090,"Lawndale, North Carolina",33479
28666,"Icard, North Carolina",33469
28315,"Aberdeen, North Carolina",33461
27953,"Manns Harbor, North Carolina",33456
28902,"Brasstown, North Carolina",33438
28606,"Boomer, North Carolina",33387
27937,"Gates, North Carolina",33347
28806,"Asheville, North Carolina",33331
28789,"Whittier, North Carolina",33326
27371,"Troy, North Carolina",33250
27577,"Smithfield, North Carolina",33188
28645,"Lenoir, North Carolina",33181
28551,"La Grange, North Carolina",33137
28618,"Deep Gap, North Carolina",33135
28909,"Warne, North Carolina",33125
28531,"Harkers Island, North Carolina",33125
27507,"Bullock, North Carolina",33094
28479,"Winnabow, North Carolina",33092
28777,"Spruce Pine, North Carolina",33055
27919,"Belvidere, North Carolina",33040
28637,"Hildebran, North Carolina",33029
28204,"Charlotte, North Carolina",33006
28716,"Canton, North Carolina",32961
28690,"Valdese, North Carolina",32923
28072,"Granite Quarry, North Carolina",32917
27576,"Selma, North Carolina",32898
27209,"Biscoe, North Carolina",32885
28786,"Waynesville, North Carolina",32836
28792,"Hendersonville, North Carolina",32820
27016,"Danbury, North Carolina",32813
27217,"Burlington, North Carolina",32785
28470,"Shallotte, North Carolina",32781
28347,"Hoffman, North Carolina",32772
27053,"Westfield, North Carolina",32768
27846,"Jamesville, North Carolina",32750
28677,"Statesville, North Carolina",32611
